"Notes","Year","Year Code","State","State Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"2018","2018","New York","36","Enterocolitis due to Clostridium difficile","A04.7",273,19542209,1.4
,"2018","2018","New York","36","Other and unspecified gastroenteritis and colitis of infectious origin","A09.0",32,19542209,0.2
,"2018","2018","New York","36","Gastroenteritis and colitis of unspecified origin","A09.9",157,19542209,0.8
,"2018","2018","New York","36","Tuberculosis of lung, without mention of bacteriological or histological confirmation","A16.2",14,19542209,Unreliable
,"2018","2018","New York","36","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","A16.9",10,19542209,Unreliable
,"2018","2018","New York","36","Tuberculosis of bones and joints","A18.0",12,19542209,Unreliable
,"2018","2018","New York","36","Pulmonary mycobacterial infection","A31.0",17,19542209,Unreliable
,"2018","2018","New York","36","Streptococcal septicaemia, unspecified","A40.9",12,19542209,Unreliable
,"2018","2018","New York","36","Septicaemia due to Staphylococcus aureus","A41.0",35,19542209,0.2
,"2018","2018","New York","36","Septicaemia due to unspecified staphylococcus","A41.2",11,19542209,Unreliable
,"2018","2018","New York","36","Septicaemia due to other Gram-negative organisms","A41.5",92,19542209,0.5
,"2018","2018","New York","36","Septicaemia, unspecified","A41.9",1649,19542209,8.4
,"2018","2018","New York","36","Legionnaires disease","A48.1",30,19542209,0.2
,"2018","2018","New York","36","Staphylococcal infection, unspecified","A49.0",70,19542209,0.4
,"2018","2018","New York","36","Streptococcal infection, unspecified","A49.1",33,19542209,0.2
,"2018","2018","New York","36","Other bacterial infections of unspecified site","A49.8",26,19542209,0.1
,"2018","2018","New York","36","Bacterial infection, unspecified","A49.9",66,19542209,0.3
,"2018","2018","New York","36","Creutzfeldt-Jakob disease - CJD","A81.0",28,19542209,0.1
,"2018","2018","New York","36","Acute hepatitis B without delta-agent and without hepatic coma","B16.9",34,19542209,0.2
,"2018","2018","New York","36","Chronic viral hepatitis C","B18.2",213,19542209,1.1
,"2018","2018","New York","36","HIV disease resulting in other bacterial infections","B20.1",53,19542209,0.3
,"2018","2018","New York","36","HIV disease resulting in other viral infections","B20.3",23,19542209,0.1
,"2018","2018","New York","36","HIV disease resulting in Pneumocystis carinii pneumonia","B20.6",12,19542209,Unreliable
,"2018","2018","New York","36","HIV disease resulting in multiple infections","B20.7",46,19542209,0.2
,"2018","2018","New York","36","HIV disease resulting in other infectious and parasitic diseases","B20.8",48,19542209,0.2
,"2018","2018","New York","36","HIV disease with other types of non-Hodgkin lymphoma","B21.2",16,19542209,Unreliable
,"2018","2018","New York","36","HIV disease resulting in other malignant neoplasms","B21.8",14,19542209,Unreliable
,"2018","2018","New York","36","HIV disease resulting in multiple diseases classified elsewhere","B22.7",32,19542209,0.2
,"2018","2018","New York","36","HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified","B23.2",12,19542209,Unreliable
,"2018","2018","New York","36","HIV disease resulting in other specified conditions","B23.8",85,19542209,0.4
,"2018","2018","New York","36","Unspecified human immunodeficiency virus [HIV] disease","B24",61,19542209,0.3
,"2018","2018","New York","36","Other viral infections of unspecified site","B34.8",72,19542209,0.4
,"2018","2018","New York","36","Viral infection, unspecified","B34.9",21,19542209,0.1
,"2018","2018","New York","36","Candidal septicaemia","B37.7",13,19542209,Unreliable
,"2018","2018","New York","36","Unspecified mycosis","B49",22,19542209,0.1
,"2018","2018","New York","36","Sequelae of other specified infectious and parasitic diseases","B94.8",35,19542209,0.2
,"2018","2018","New York","36","Other and unspecified infectious diseases","B99",55,19542209,0.3
,"2018","2018","New York","36","Tongue, unspecified - Malignant neoplasms","C02.9",132,19542209,0.7
,"2018","2018","New York","36","Mouth, unspecified - Malignant neoplasms","C06.9",59,19542209,0.3
,"2018","2018","New York","36","Malignant neoplasm of parotid gland","C07",27,19542209,0.1
,"2018","2018","New York","36","Major salivary gland, unspecified - Malignant neoplasms","C08.9",14,19542209,Unreliable
,"2018","2018","New York","36","Tonsil, unspecified - Malignant neoplasms","C09.9",47,19542209,0.2
,"2018","2018","New York","36","Oropharynx, unspecified - Malignant neoplasms","C10.9",72,19542209,0.4
,"2018","2018","New York","36","Nasopharynx, unspecified - Malignant neoplasms","C11.9",53,19542209,0.3
,"2018","2018","New York","36","Hypopharynx, unspecified - Malignant neoplasms","C13.9",20,19542209,0.1
,"2018","2018","New York","36","Pharynx, unspecified - Malignant neoplasms","C14.0",64,19542209,0.3
,"2018","2018","New York","36","Lower third of oesophagus - Malignant neoplasms","C15.5",11,19542209,Unreliable
,"2018","2018","New York","36","Oesophagus, unspecified - Malignant neoplasms","C15.9",821,19542209,4.2
,"2018","2018","New York","36","Cardia - Malignant neoplasms","C16.0",70,19542209,0.4
,"2018","2018","New York","36","Stomach, unspecified - Malignant neoplasms","C16.9",709,19542209,3.6
,"2018","2018","New York","36","Duodenum - Malignant neoplasms","C17.0",48,19542209,0.2
,"2018","2018","New York","36","Small intestine, unspecified - Malignant neoplasms","C17.9",27,19542209,0.1
,"2018","2018","New York","36","Caecum - Malignant neoplasms","C18.0",30,19542209,0.2
,"2018","2018","New York","36","Appendix - Malignant neoplasms","C18.1",44,19542209,0.2
,"2018","2018","New York","36","Ascending colon - Malignant neoplasms","C18.2",11,19542209,Unreliable
,"2018","2018","New York","36","Sigmoid colon - Malignant neoplasms","C18.7",24,19542209,0.1
,"2018","2018","New York","36","Colon, unspecified - Malignant neoplasms","C18.9",2145,19542209,11.0
,"2018","2018","New York","36","Malignant neoplasm of rectosigmoid junction","C19",165,19542209,0.8
,"2018","2018","New York","36","Malignant neoplasm of rectum","C20",417,19542209,2.1
,"2018","2018","New York","36","Anus, unspecified - Malignant neoplasms","C21.0",63,19542209,0.3
,"2018","2018","New York","36","Liver cell carcinoma - Malignant neoplasms","C22.0",542,19542209,2.8
,"2018","2018","New York","36","Intrahepatic bile duct carcinoma - Malignant neoplasms","C22.1",473,19542209,2.4
,"2018","2018","New York","36","Liver, unspecified - Malignant neoplasms","C22.9",417,19542209,2.1
,"2018","2018","New York","36","Malignant neoplasm of gallbladder","C23",167,19542209,0.9
,"2018","2018","New York","36","Extrahepatic bile duct - Malignant neoplasms","C24.0",59,19542209,0.3
,"2018","2018","New York","36","Ampulla of Vater - Malignant neoplasms","C24.1",19,19542209,Unreliable
,"2018","2018","New York","36","Biliary tract, unspecified - Malignant neoplasms","C24.9",59,19542209,0.3
,"2018","2018","New York","36","Head of pancreas - Malignant neoplasms","C25.0",16,19542209,Unreliable
,"2018","2018","New York","36","Pancreas, unspecified - Malignant neoplasms","C25.9",2725,19542209,13.9
