Year,Year Code,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
2018.0,2018.0,New York,36.0,Enterocolitis due to Clostridium difficile,A04.7,273.0,19542209.0,1.4
2018.0,2018.0,New York,36.0,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,32.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Gastroenteritis and colitis of unspecified origin,A09.9,157.0,19542209.0,0.8
2018.0,2018.0,New York,36.0,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,14.0,19542209.0,
2018.0,2018.0,New York,36.0,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Tuberculosis of bones and joints,A18.0,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Pulmonary mycobacterial infection,A31.0,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Streptococcal septicaemia, unspecified",A40.9,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Septicaemia due to Staphylococcus aureus,A41.0,35.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Septicaemia due to unspecified staphylococcus,A41.2,11.0,19542209.0,
2018.0,2018.0,New York,36.0,Septicaemia due to other Gram-negative organisms,A41.5,92.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,"Septicaemia, unspecified",A41.9,1649.0,19542209.0,8.4
2018.0,2018.0,New York,36.0,Legionnaires disease,A48.1,30.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Staphylococcal infection, unspecified",A49.0,70.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Streptococcal infection, unspecified",A49.1,33.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Other bacterial infections of unspecified site,A49.8,26.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Bacterial infection, unspecified",A49.9,66.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Creutzfeldt-Jakob disease - CJD,A81.0,28.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,34.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Chronic viral hepatitis C,B18.2,213.0,19542209.0,1.1
2018.0,2018.0,New York,36.0,HIV disease resulting in other bacterial infections,B20.1,53.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,HIV disease resulting in other viral infections,B20.3,23.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,HIV disease resulting in Pneumocystis carinii pneumonia,B20.6,12.0,19542209.0,
2018.0,2018.0,New York,36.0,HIV disease resulting in multiple infections,B20.7,46.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,HIV disease resulting in other infectious and parasitic diseases,B20.8,48.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,HIV disease with other types of non-Hodgkin lymphoma,B21.2,16.0,19542209.0,
2018.0,2018.0,New York,36.0,HIV disease resulting in other malignant neoplasms,B21.8,14.0,19542209.0,
